State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Texas,1996,"$2,516.1M",$3.1M,$69.4M,$35.1M,"$2,623.7M","$24,636.0M","$11,356.8M","$3,958.5M",$35.1M,"$39,986.4M",10.2%,0.0%,1.8%,100.0%,6.6%
Texas,1997,"$2,106.5M",$11.7M,$78.6M,$58.5M,"$2,255.3M","$25,011.8M","$11,496.9M","$3,667.9M",$58.5M,"$40,235.1M",8.4%,0.1%,2.1%,100.0%,5.6%
Texas,1998,"$2,202.0M",$62.0M,$91.0M,$88.0M,"$2,443.0M","$23,741.0M","$12,154.0M","$6,654.0M",$88.0M,"$42,637.0M",9.3%,0.5%,1.4%,100.0%,5.7%
Texas,1999,"$2,364.0M",$69.0M,$240.0M,$0.0M,"$2,673.0M","$24,883.2M","$13,393.8M","$7,001.2M",$0.0M,"$45,278.2M",9.5%,0.5%,3.4%,,5.9%
Texas,2000,"$2,937.0M",$72.0M,$146.0M,$0.0M,"$3,155.0M","$27,322.0M","$14,399.0M","$7,669.0M",$0.0M,"$49,390.0M",10.7%,0.5%,1.9%,,6.4%
Texas,2001,"$3,050.0M",$98.7M,$150.6M,$35.9M,"$3,335.2M","$28,426.8M","$15,580.0M","$8,238.9M",$101.1M,"$52,346.9M",10.7%,0.6%,1.8%,35.5%,6.4%
Texas,2002,"$3,398.0M",$81.0M,$123.0M,$33.0M,"$3,635.0M","$30,006.0M","$17,813.0M","$6,855.0M","$1,946.0M","$56,620.0M",11.3%,0.5%,1.8%,1.7%,6.4%
Texas,2003,"$3,356.7M",$79.2M,$154.4M,$46.0M,"$3,636.3M","$29,911.1M","$19,691.4M","$9,692.1M","$1,465.0M","$60,759.6M",11.2%,0.4%,1.6%,3.1%,6.0%
Texas,2004,"$3,191.0M",$78.0M,$145.0M,$31.0M,"$3,445.0M","$28,930.0M","$21,260.0M","$8,536.0M","$1,936.0M","$60,662.0M",11.0%,0.4%,1.7%,1.6%,5.7%
Texas,2005,"$3,027.0M",$60.0M,$96.0M,$28.0M,"$3,211.0M","$32,157.0M","$22,594.0M","$9,598.0M","$1,647.0M","$65,996.0M",9.4%,0.3%,1.0%,1.7%,4.9%
Texas,2006,"$2,677.0M",$47.0M,$91.0M,$31.0M,"$2,846.0M","$34,866.0M","$24,710.0M","$10,384.0M","$3,410.0M","$73,370.0M",7.7%,0.2%,0.9%,0.9%,3.9%
Texas,2007,"$2,876.0M",$74.0M,$102.0M,$44.0M,"$3,096.0M","$35,061.0M","$22,299.0M","$12,634.0M","$2,790.0M","$72,784.0M",8.2%,0.3%,0.8%,1.6%,4.3%
Texas,2008,"$3,083.0M",$44.0M,$116.0M,$66.0M,"$3,309.0M","$41,184.0M","$25,023.0M","$12,634.0M","$2,256.0M","$81,097.0M",7.5%,0.2%,0.9%,2.9%,4.1%
Texas,2009,"$3,688.6M",$32.0M,$3.6M,$40.0M,"$3,764.2M","$41,779.0M","$32,728.0M","$16,411.2M","$1,378.0M","$92,296.2M",8.8%,0.1%,0.0%,2.9%,4.1%
Texas,2010,"$3,839.0M",$32.0M,$4.0M,$37.0M,"$3,912.0M","$39,473.8M","$36,672.8M","$14,845.4M","$1,063.8M","$92,055.8M",9.7%,0.1%,0.0%,3.5%,4.2%
Texas,2011,"$3,250.6M",$39.0M,$76.8M,$38.0M,"$3,404.4M","$42,684.3M","$35,606.2M","$14,321.8M","$1,506.8M","$94,119.0M",7.6%,0.1%,0.5%,2.5%,3.6%
Texas,2012,"$3,140.0M",$29.0M,$87.0M,$31.0M,"$3,287.0M","$44,549.0M","$32,324.0M","$14,886.0M","$1,308.0M","$93,067.0M",7.0%,0.1%,0.6%,2.4%,3.5%
Texas,2013,"$3,199.0M",$26.0M,$81.0M,$40.0M,"$3,346.0M","$40,830.0M","$37,364.0M","$20,974.0M","$1,759.9M","$100,927.9M",7.8%,0.1%,0.4%,2.3%,3.3%
Texas,2014,"$3,277.2M",$21.2M,$104.6M,$36.2M,"$3,439.2M","$51,748.0M","$38,444.0M","$19,897.0M","$2,161.2M","$112,250.2M",6.3%,0.1%,0.5%,1.7%,3.1%
Texas,2015,"$3,335.0M",$15.0M,$88.0M,$31.0M,"$3,469.0M","$49,416.0M","$42,237.0M","$19,311.0M","$1,634.3M","$112,598.3M",6.7%,0.0%,0.5%,1.9%,3.1%
Texas,2016,"$3,619.6M",$22.1M,$118.5M,$5.2M,"$3,765.4M","$53,967.6M","$36,683.1M","$17,975.5M","$1,898.2M","$110,524.4M",6.7%,0.1%,0.7%,0.3%,3.4%
Texas,2017,"$3,654.0M",$18.0M,$130.0M,$1.0M,"$3,803.0M","$54,292.0M","$35,174.0M","$16,537.0M","$1,717.0M","$107,720.0M",6.7%,0.1%,0.8%,0.1%,3.5%
Texas,2018,"$3,505.0M",$20.0M,$126.0M,$0.0M,"$3,651.0M","$55,643.0M","$39,376.0M","$18,537.0M","$1,652.0M","$115,208.0M",6.3%,0.1%,0.7%,0.0%,3.2%
Texas,2019,"$3,487.0M",$20.0M,$109.0M,$0.0M,"$3,616.0M","$52,054.0M","$38,331.0M","$19,912.0M","$1,459.0M","$111,756.0M",6.7%,0.1%,0.5%,0.0%,3.2%
Utah,1991,$89.8M,$1.4M,$5.2M,$0.0M,$96.4M,"$1,744.6M",$730.6M,$915.1M,$53.7M,"$3,444.0M",5.1%,0.2%,0.6%,0.0%,2.8%
Utah,1992,$98.4M,$0.4M,$3.8M,$2.7M,$105.3M,"$1,857.1M",$854.5M,$953.0M,$85.3M,"$3,749.9M",5.3%,0.0%,0.4%,3.2%,2.8%
Utah,1993,$107.0M,$0.6M,$0.0M,$0.2M,$107.8M,"$1,978.0M",$964.4M,"$1,024.3M",$73.4M,"$4,040.1M",5.4%,0.1%,0.0%,0.3%,2.7%
Utah,1994,$112.9M,$0.9M,$10.0M,$2.7M,$126.5M,"$2,121.9M","$1,043.2M","$1,146.0M",$90.5M,"$4,401.6M",5.3%,0.1%,0.9%,3.0%,2.9%
Utah,1995,$130.7M,$0.7M,$13.2M,$12.1M,$156.7M,"$2,341.1M","$1,095.8M","$1,205.4M",$75.9M,"$4,718.2M",5.6%,0.1%,1.1%,15.9%,3.3%
Utah,1996,$154.7M,$1.1M,$12.5M,$18.1M,$186.4M,"$2,609.5M","$1,215.8M","$1,097.3M",$44.3M,"$4,966.9M",5.9%,0.1%,1.1%,40.9%,3.8%
Utah,1997,$173.3M,$2.8M,$13.7M,$13.9M,$203.7M,"$3,014.4M","$1,279.9M","$1,183.1M",$13.9M,"$5,491.3M",5.7%,0.2%,1.2%,100.0%,3.7%
Utah,1998,$192.2M,$2.4M,$9.1M,$3.8M,$207.5M,"$3,041.6M","$1,292.2M","$1,387.4M",$663.6M,"$6,384.8M",6.3%,0.2%,0.7%,0.6%,3.2%
Utah,1999,$219.3M,$3.5M,$16.7M,$8.8M,$248.3M,"$3,248.3M","$1,480.3M","$1,388.2M",$288.5M,"$6,405.3M",6.8%,0.2%,1.2%,3.1%,3.9%
Utah,2000,$230.0M,$5.0M,$36.0M,$0.0M,$271.0M,"$3,362.0M","$1,530.0M","$1,477.0M",$123.0M,"$6,492.0M",6.8%,0.3%,2.4%,0.0%,4.2%
Utah,2001,$247.0M,$7.0M,$19.0M,$0.0M,$273.0M,"$3,906.0M","$1,847.0M","$1,945.0M",$0.0M,"$7,698.0M",6.3%,0.4%,1.0%,,3.5%
Utah,2002,$245.0M,$2.0M,$23.0M,$0.0M,$270.0M,"$3,778.0M","$1,805.0M","$1,736.0M",$196.0M,"$7,515.0M",6.5%,0.1%,1.3%,0.0%,3.6%
Utah,2003,$242.0M,$11.0M,$22.0M,$5.0M,$280.0M,"$3,536.0M","$1,934.0M","$1,720.0M",$343.0M,"$7,533.0M",6.8%,0.6%,1.3%,1.5%,3.7%
Utah,2004,$248.0M,$3.0M,$32.0M,$0.0M,$283.0M,"$3,574.0M","$2,076.0M","$1,963.0M",$253.0M,"$7,866.0M",6.9%,0.1%,1.6%,0.0%,3.6%
Utah,2005,$261.0M,$4.0M,$28.0M,$0.0M,$293.0M,"$3,978.0M","$2,247.0M","$2,131.0M",$137.0M,"$8,493.0M",6.6%,0.2%,1.3%,0.0%,3.4%
Utah,2006,$291.0M,$4.0M,$20.0M,$0.0M,$315.0M,"$4,223.0M","$2,401.0M","$2,275.0M",$5.0M,"$8,904.0M",6.9%,0.2%,0.9%,0.0%,3.5%
Utah,2007,$304.2M,$2.3M,$22.3M,$0.0M,$328.8M,"$4,710.7M","$2,370.1M","$2,792.6M",$111.0M,"$9,984.4M",6.5%,0.1%,0.8%,0.0%,3.3%
Utah,2008,$330.0M,$3.0M,$22.0M,$0.0M,$355.0M,"$5,784.0M","$2,503.0M","$3,033.0M",$3.0M,"$11,323.0M",5.7%,0.1%,0.7%,0.0%,3.1%
Utah,2009,$331.0M,$3.0M,$26.0M,$0.0M,$360.0M,"$4,817.0M","$2,963.0M","$3,736.0M",$43.0M,"$11,559.0M",6.9%,0.1%,0.7%,0.0%,3.1%
Utah,2010,$306.0M,$3.0M,$24.0M,$0.0M,$333.0M,"$4,372.0M","$3,607.0M","$4,316.0M",$303.0M,"$12,598.0M",7.0%,0.1%,0.6%,0.0%,2.6%
Utah,2011,$236.0M,$1.0M,-$5.0M,$0.0M,$232.0M,"$4,628.0M","$3,579.0M","$4,115.0M",$366.0M,"$12,688.0M",5.1%,0.0%,-0.1%,0.0%,1.8%
Utah,2012,$237.0M,$1.0M,$1.0M,$0.0M,$239.0M,"$4,742.0M","$3,588.0M","$3,039.0M",$453.0M,"$11,822.0M",5.0%,0.0%,0.0%,0.0%,2.0%
Utah,2013,$239.0M,$1.0M,$5.0M,$0.0M,$245.0M,"$5,098.0M","$3,462.0M","$3,529.0M",$0.0M,"$12,089.0M",4.7%,0.0%,0.1%,,2.0%
Utah,2014,$329.0M,$5.0M,$23.0M,$0.0M,$357.0M,"$5,383.0M","$3,497.0M","$3,304.0M",$0.0M,"$12,184.0M",6.1%,0.1%,0.7%,,2.9%
Utah,2015,$352.0M,$4.0M,$5.0M,$0.0M,$361.0M,"$5,749.0M","$3,497.0M","$3,620.0M",$0.0M,"$12,866.0M",6.1%,0.1%,0.1%,,2.8%
Utah,2016,$453.0M,$4.0M,$1.0M,$0.0M,$458.0M,"$6,191.0M","$3,582.0M","$3,870.0M",$0.0M,"$13,643.0M",7.3%,0.1%,0.0%,,3.4%
Utah,2017,$384.0M,$4.0M,$8.0M,$0.0M,$396.0M,"$6,411.0M","$3,809.0M","$4,002.0M",$0.0M,"$14,222.0M",6.0%,0.1%,0.2%,,2.8%
Utah,2018,$394.0M,$2.0M,$9.0M,$0.0M,$405.0M,"$6,739.0M","$3,924.0M","$3,794.0M",$332.0M,"$14,789.0M",5.8%,0.1%,0.2%,0.0%,2.7%
Utah,2019,$529.0M,$6.0M,$18.0M,$0.0M,$553.0M,"$7,493.0M","$4,664.0M","$4,521.0M",$150.0M,"$16,828.0M",7.1%,0.1%,0.4%,0.0%,3.3%
Vermont,1991,$27.7M,$0.4M,$0.1M,$1.1M,$29.3M,$609.6M,$379.7M,$299.8M,$51.3M,"$1,340.4M",4.5%,0.1%,0.0%,2.1%,2.2%
Vermont,1992,$29.7M,$0.4M,$0.1M,$1.6M,$31.8M,$630.7M,$425.7M,$307.6M,$63.6M,"$1,427.6M",4.7%,0.1%,0.0%,2.5%,2.2%
Vermont,1993,$30.9M,$0.4M,$0.1M,$9.2M,$40.6M,$622.2M,$491.9M,$313.3M,$65.5M,"$1,492.9M",5.0%,0.1%,0.0%,14.0%,2.7%
Vermont,1994,$36.5M,$0.2M,$0.2M,$0.7M,$37.6M,$638.8M,$523.4M,$322.8M,$66.0M,"$1,551.0M",5.7%,0.0%,0.1%,1.1%,2.4%
Vermont,1995,$42.5M,$0.1M,$0.6M,$0.1M,$43.3M,$669.3M,$533.4M,$343.2M,$89.8M,"$1,635.7M",6.3%,0.0%,0.2%,0.1%,2.6%
Vermont,1996,$44.2M,$0.0M,$0.8M,$0.8M,$45.8M,$679.2M,$548.6M,$315.5M,$65.9M,"$1,609.2M",6.5%,0.0%,0.3%,1.2%,2.8%
Vermont,1997,$45.4M,$0.4M,$0.7M,$0.9M,$47.4M,$696.7M,$583.2M,$338.6M,$53.6M,"$1,672.1M",6.5%,0.1%,0.2%,1.7%,2.8%
Vermont,1998,$49.5M,$0.2M,$2.0M,$0.0M,$51.7M,$733.2M,$648.1M,$365.4M,$50.6M,"$1,797.3M",6.8%,0.0%,0.5%,0.0%,2.9%
Vermont,1999,$58.7M,$0.0M,$1.0M,$0.7M,$60.4M,$771.9M,$721.6M,$487.7M,$38.2M,"$2,019.4M",7.6%,0.0%,0.2%,1.8%,3.0%
Vermont,2000,$67.0M,$0.0M,$1.0M,$1.0M,$69.0M,$859.0M,$831.0M,$504.0M,$37.0M,"$2,231.0M",7.8%,0.0%,0.2%,2.7%,3.1%
Vermont,2001,$70.0M,$0.0M,$1.0M,$1.0M,$72.0M,$867.0M,$866.0M,$891.0M,$40.0M,"$2,664.0M",8.1%,0.0%,0.1%,2.5%,2.7%
Vermont,2002,$75.0M,$6.0M,$6.0M,$6.0M,$93.0M,$874.0M,$943.0M,$988.0M,$39.0M,"$2,844.0M",8.6%,0.6%,0.6%,15.4%,3.3%
Vermont,2003,$76.0M,$0.0M,$1.0M,$6.0M,$83.0M,$588.0M,$893.0M,"$1,533.0M",$41.0M,"$3,055.0M",12.9%,0.0%,0.1%,14.6%,2.7%
Vermont,2004,$41.0M,$51.0M,$5.0M,$0.0M,$97.0M,$561.0M,"$1,007.0M","$1,604.0M",$41.0M,"$3,213.0M",7.3%,5.1%,0.3%,0.0%,3.0%
Vermont,2005,$96.0M,$1.0M,$6.0M,$0.0M,$103.0M,"$1,060.0M","$1,017.0M","$1,988.0M",$53.0M,"$4,118.0M",9.1%,0.1%,0.3%,0.0%,2.5%
Vermont,2006,$103.0M,$3.0M,$6.0M,$2.0M,$114.0M,"$1,136.0M","$1,214.0M","$2,553.0M",$43.0M,"$4,946.0M",9.1%,0.2%,0.2%,4.7%,2.3%
Vermont,2007,$116.0M,$1.0M,$4.0M,$1.0M,$122.0M,"$1,200.0M","$1,250.0M","$2,661.0M",$37.0M,"$5,148.0M",9.7%,0.1%,0.2%,2.7%,2.4%
Vermont,2008,$122.0M,$1.0M,$5.0M,$3.0M,$131.0M,"$1,225.0M","$1,312.0M","$2,734.0M",$37.0M,"$5,308.0M",10.0%,0.1%,0.2%,8.1%,2.5%
Vermont,2009,$121.0M,$1.0M,$6.0M,$2.0M,$130.0M,$773.0M,"$1,475.0M","$2,015.0M",$56.0M,"$4,319.0M",15.7%,0.1%,0.3%,3.6%,3.0%
Vermont,2010,$129.0M,$0.0M,$7.0M,$0.0M,$136.0M,$774.0M,"$1,865.0M","$1,954.0M",$74.0M,"$4,667.0M",16.7%,0.0%,0.4%,0.0%,2.9%
Vermont,2011,$133.0M,$0.0M,$8.0M,$1.0M,$142.0M,$744.0M,"$1,966.0M","$2,072.0M",$78.0M,"$4,860.0M",17.9%,0.0%,0.4%,1.3%,2.9%
Vermont,2012,$129.0M,$0.0M,$8.0M,$1.0M,$138.0M,"$1,277.0M","$1,831.0M","$1,853.0M",$56.0M,"$5,017.0M",10.1%,0.0%,0.4%,1.8%,2.8%
Vermont,2013,$135.0M,$0.0M,$9.0M,$1.0M,$145.0M,"$1,352.0M","$1,695.0M","$1,845.0M",$73.0M,"$4,965.0M",10.0%,0.0%,0.5%,1.4%,2.9%
Vermont,2014,$141.0M,$0.0M,$8.0M,$1.0M,$150.0M,"$1,392.0M","$1,760.0M","$2,003.0M",$116.0M,"$5,271.0M",10.1%,0.0%,0.4%,0.9%,2.8%
Vermont,2015,$147.0M,$1.0M,$7.0M,$0.0M,$155.0M,"$1,421.0M","$1,939.0M","$1,975.0M",$98.0M,"$5,433.0M",10.3%,0.1%,0.4%,0.0%,2.9%
Vermont,2016,$142.0M,$1.0M,$7.0M,$0.0M,$150.0M,"$1,457.0M","$1,992.0M","$2,022.0M",$91.0M,"$5,562.0M",9.7%,0.1%,0.3%,0.0%,2.7%
Vermont,2017,$148.0M,$1.0M,$7.0M,$0.0M,$156.0M,"$1,498.0M","$1,914.0M","$2,096.0M",$49.0M,"$5,557.0M",9.9%,0.1%,0.3%,0.0%,2.8%
Vermont,2018,$147.0M,$1.0M,$8.0M,$0.0M,$156.0M,"$1,587.0M","$1,926.0M","$2,098.0M",$64.0M,"$5,675.0M",9.3%,0.1%,0.4%,0.0%,2.7%
Vermont,2019,$150.0M,$1.0M,$7.0M,$0.0M,$158.0M,"$1,650.0M","$1,887.0M","$2,212.0M",$87.0M,"$5,836.0M",9.1%,0.1%,0.3%,0.0%,2.7%
Virginia,1991,$524.7M,$7.2M,$3.6M,$0.0M,$535.5M,"$6,294.0M","$2,085.8M","$4,632.9M",$113.0M,"$13,125.7M",8.3%,0.3%,0.1%,0.0%,4.1%
Virginia,1992,$534.8M,$8.6M,$3.1M,$0.0M,$546.5M,"$6,136.4M","$2,256.3M","$4,980.8M",$156.1M,"$13,529.6M",8.7%,0.4%,0.1%,0.0%,4.0%
Virginia,1993,$536.9M,$9.2M,$0.8M,$0.0M,$546.9M,"$6,374.7M","$2,449.3M","$5,165.9M",$112.1M,"$14,102.0M",8.4%,0.4%,0.0%,0.0%,3.9%
Virginia,1994,$578.7M,$9.5M,$2.0M,$0.0M,$590.2M,"$6,676.1M","$2,572.1M","$5,919.0M",$214.1M,"$15,381.3M",8.7%,0.4%,0.0%,0.0%,3.8%
Virginia,1995,$626.7M,$8.7M,$27.8M,$0.0M,$663.2M,"$7,248.1M","$2,917.2M","$6,399.5M",$260.1M,"$16,824.9M",8.6%,0.3%,0.4%,0.0%,3.9%
Virginia,1996,$670.1M,$14.1M,$30.9M,$0.0M,$715.1M,"$7,506.3M","$2,930.2M","$6,471.6M",$273.1M,"$17,181.2M",8.9%,0.5%,0.5%,0.0%,4.2%
Virginia,1997,$683.0M,$17.5M,$11.4M,$52.7M,$764.6M,"$7,988.3M","$3,096.7M","$6,644.0M",$351.6M,"$18,080.6M",8.6%,0.6%,0.2%,15.0%,4.2%
Virginia,1998,$757.8M,$25.0M,$9.4M,$90.7M,$882.9M,"$8,503.7M","$3,268.6M","$6,811.0M",$480.5M,"$19,063.8M",8.9%,0.8%,0.1%,18.9%,4.6%
Virginia,1999,$850.1M,$19.4M,$41.9M,$16.7M,$928.1M,"$9,565.2M","$3,503.9M","$7,463.3M",$369.4M,"$20,901.8M",8.9%,0.6%,0.6%,4.5%,4.4%
Virginia,2000,$899.0M,$26.2M,$69.1M,$4.4M,$998.7M,"$10,533.1M","$3,720.8M","$7,823.4M",$287.1M,"$22,364.4M",8.5%,0.7%,0.9%,1.5%,4.5%
Virginia,2001,$973.9M,$31.3M,$88.9M,$2.8M,"$1,096.9M","$11,269.6M","$4,131.4M","$8,764.3M",$275.5M,"$24,440.8M",8.6%,0.8%,1.0%,1.0%,4.5%
Virginia,2002,$970.7M,$31.1M,$90.2M,$1.8M,"$1,093.8M","$11,129.3M","$4,892.3M","$10,229.7M",$324.2M,"$26,575.5M",8.7%,0.6%,0.9%,0.6%,4.1%
Virginia,2003,$928.1M,$43.9M,$54.4M,$5.7M,"$1,032.1M","$10,974.2M","$5,129.1M","$10,325.4M",$497.0M,"$26,925.7M",8.5%,0.9%,0.5%,1.1%,3.8%
Virginia,2004,$941.6M,$46.0M,$33.9M,$18.5M,"$1,040.0M","$11,237.8M","$5,740.1M","$10,602.7M",$643.8M,"$28,224.4M",8.4%,0.8%,0.3%,2.9%,3.7%
Virginia,2005,"$1,078.3M",$46.6M,$26.6M,$75.8M,"$1,227.3M","$13,819.6M","$5,682.1M","$10,150.4M",$815.6M,"$30,467.7M",7.8%,0.8%,0.3%,9.3%,4.0%
Virginia,2006,"$1,165.6M",$38.1M,$18.5M,$173.2M,"$1,395.4M","$14,512.1M","$5,960.4M","$10,556.7M",$892.6M,"$31,921.8M",8.0%,0.6%,0.2%,19.4%,4.4%
Virginia,2007,"$1,135.8M",$31.1M,$67.6M,$168.0M,"$1,402.5M","$16,546.5M","$6,243.8M","$10,945.7M","$1,097.0M","$34,833.0M",6.9%,0.5%,0.6%,15.3%,4.0%
Virginia,2008,"$1,286.8M",$19.7M,$74.1M,$87.7M,"$1,468.4M","$15,098.8M","$6,342.1M","$13,039.9M",$849.3M,"$35,330.0M",8.5%,0.3%,0.6%,10.3%,4.2%
Virginia,2009,$692.1M,$23.9M,$64.5M,$21.8M,$802.2M,"$15,020.4M","$6,771.5M","$13,539.0M","$1,632.4M","$36,963.3M",4.6%,0.4%,0.5%,1.3%,2.2%
Virginia,2010,"$1,132.0M",$19.0M,$77.0M,$70.0M,"$1,298.0M","$14,989.4M","$9,327.5M","$15,001.2M","$1,456.3M","$40,774.4M",7.6%,0.2%,0.5%,4.8%,3.2%
Virginia,2011,"$1,132.7M",$18.8M,$92.0M,$25.1M,"$1,268.6M","$16,434.9M","$9,832.4M","$14,838.7M","$1,364.0M","$42,470.0M",6.9%,0.2%,0.6%,1.8%,3.0%
Virginia,2012,"$1,136.1M",$21.3M,$96.3M,$16.9M,"$1,270.6M","$16,986.4M","$9,212.3M","$15,890.0M","$1,284.3M","$43,373.0M",6.7%,0.2%,0.6%,1.3%,2.9%
Virginia,2013,"$1,173.8M",$17.3M,$76.4M,$22.6M,"$1,290.1M","$18,833.2M","$9,545.7M","$16,190.8M","$1,167.0M","$45,736.7M",6.2%,0.2%,0.5%,1.9%,2.8%
Virginia,2014,"$1,151.0M",$15.5M,$72.8M,$21.3M,"$1,260.6M","$18,051.6M","$9,568.1M","$17,070.5M","$1,167.0M","$45,857.2M",6.4%,0.2%,0.4%,1.8%,2.7%
Virginia,2015,"$1,226.1M",$14.3M,$68.0M,$18.9M,"$1,327.3M","$18,598.4M","$9,705.9M","$17,658.3M","$1,089.2M","$47,051.8M",6.6%,0.1%,0.4%,1.7%,2.8%
Virginia,2016,"$1,263.7M",$13.7M,$71.1M,$16.9M,"$1,365.4M","$19,672.1M","$9,838.0M","$18,477.3M","$1,102.5M","$49,089.9M",6.4%,0.1%,0.4%,1.5%,2.8%
Virginia,2017,"$1,295.1M",$37.2M,$71.9M,$24.0M,"$1,428.3M","$20,227.3M","$10,308.5M","$18,804.7M",$961.8M,"$50,302.2M",6.4%,0.4%,0.4%,2.5%,2.8%
Virginia,2018,"$1,344.7M",$50.8M,$65.7M,$26.1M,"$1,487.1M","$20,884.2M","$10,163.0M","$20,070.4M",$958.5M,"$52,076.0M",6.4%,0.5%,0.3%,2.7%,2.9%
Virginia,2019,"$1,370.2M",$48.6M,$69.6M,$26.9M,"$1,515.4M","$21,774.1M","$11,447.0M","$20,733.6M","$1,308.6M","$55,263.3M",6.3%,0.4%,0.3%,2.1%,2.7%
Washington,1991,$268.9M,$0.2M,$6.0M,$40.0M,$315.1M,"$6,817.5M","$2,458.8M","$3,931.8M",$395.1M,"$13,603.2M",3.9%,0.0%,0.2%,10.1%,2.3%
Washington,1992,$295.2M,$0.5M,$39.5M,$222.8M,$558.0M,"$7,515.5M","$2,811.4M","$3,912.5M",$513.6M,"$14,753.0M",3.9%,0.0%,1.0%,43.4%,3.8%
Washington,1993,$261.0M,$0.7M,$30.6M,$10.4M,$302.7M,"$7,741.2M","$2,964.2M","$2,479.8M",$497.6M,"$13,682.8M",3.4%,0.0%,1.2%,2.1%,2.2%
Washington,1994,$378.1M,$0.2M,$54.9M,$0.0M,$433.2M,"$8,090.8M","$3,309.1M","$3,290.5M",$526.6M,"$15,217.0M",4.7%,0.0%,1.7%,0.0%,2.8%
Washington,1995,$352.1M,$0.5M,$2.7M,$49.6M,$404.9M,"$8,759.5M","$4,020.4M","$3,721.1M",$642.6M,"$17,143.6M",4.0%,0.0%,0.1%,7.7%,2.4%
Washington,1996,$366.3M,$1.9M,$1.2M,$37.0M,$406.4M,"$8,619.4M","$3,507.0M","$4,667.7M",$502.6M,"$17,296.7M",4.2%,0.1%,0.0%,7.4%,2.3%
Washington,1997,$388.4M,$2.4M,$3.3M,$70.6M,$464.7M,"$9,113.0M","$4,357.2M","$4,446.1M",$798.6M,"$18,714.9M",4.3%,0.1%,0.1%,8.8%,2.5%
Washington,1998,$489.3M,$20.4M,$20.8M,$32.7M,$563.2M,"$9,331.7M","$4,479.4M","$4,708.1M",$509.6M,"$19,028.8M",5.2%,0.5%,0.4%,6.4%,3.0%
Washington,1999,$512.6M,$16.9M,$22.6M,$130.9M,$683.0M,"$9,826.0M","$4,738.2M","$5,189.9M",$666.1M,"$20,420.2M",5.2%,0.4%,0.4%,19.7%,3.3%
Washington,2000,$548.0M,$25.1M,$16.0M,$112.0M,$701.1M,"$10,220.0M","$5,323.5M","$5,166.1M",$778.2M,"$21,487.8M",5.4%,0.5%,0.3%,14.4%,3.3%
Washington,2001,$493.0M,$28.0M,$126.0M,$55.0M,$702.0M,"$10,827.0M","$4,892.0M","$6,619.0M",$726.0M,"$23,064.0M",4.6%,0.6%,1.9%,7.6%,3.0%
Washington,2002,$536.0M,$22.0M,$119.0M,$24.0M,$701.0M,"$11,214.0M","$5,371.0M","$7,214.0M",$573.0M,"$24,372.0M",4.8%,0.4%,1.6%,4.2%,2.9%
Washington,2003,$650.0M,$20.0M,$40.0M,$35.0M,$745.0M,"$11,334.0M","$5,530.0M","$7,371.0M",$903.0M,"$25,138.0M",5.7%,0.4%,0.5%,3.9%,3.0%
Washington,2004,$685.0M,$17.0M,$26.0M,$27.0M,$755.0M,"$11,452.0M","$5,858.0M","$8,034.0M",$622.0M,"$25,966.0M",6.0%,0.3%,0.3%,4.3%,2.9%
Washington,2005,$721.0M,$18.0M,$39.0M,$66.0M,$844.0M,"$12,220.0M","$6,097.0M","$6,952.0M",$839.0M,"$26,108.0M",5.9%,0.3%,0.6%,7.9%,3.2%
Washington,2006,$778.0M,$5.0M,$33.0M,$86.0M,$902.0M,"$13,623.0M","$6,097.0M","$6,880.0M","$1,239.0M","$27,839.0M",5.7%,0.1%,0.5%,6.9%,3.2%
Washington,2007,$823.0M,$6.0M,$39.0M,$172.0M,"$1,040.0M","$14,144.0M","$6,326.0M","$7,905.0M","$1,569.0M","$29,944.0M",5.8%,0.1%,0.5%,11.0%,3.5%
Washington,2008,$928.0M,$4.0M,$56.0M,$171.0M,"$1,159.0M","$14,616.0M","$6,678.0M","$8,617.0M","$1,820.8M","$31,731.8M",6.3%,0.1%,0.6%,9.4%,3.7%
Washington,2009,$964.0M,$6.0M,$53.0M,$115.0M,"$1,138.0M","$14,617.0M","$8,146.0M","$8,775.0M","$2,176.0M","$33,714.0M",6.6%,0.1%,0.6%,5.3%,3.4%
Washington,2010,$788.0M,$185.0M,$53.0M,$46.0M,"$1,072.0M","$15,036.0M","$9,238.0M","$7,284.0M","$2,029.0M","$33,587.0M",5.2%,2.0%,0.7%,2.3%,3.2%
Washington,2011,$875.0M,$5.0M,$70.0M,$27.0M,$977.0M,"$14,823.0M","$8,989.0M","$7,784.0M","$2,025.0M","$33,621.0M",5.9%,0.1%,0.9%,1.3%,2.9%
Washington,2012,$898.0M,$5.0M,$8.0M,$29.0M,$940.0M,"$15,279.0M","$8,049.0M","$8,136.0M","$1,711.0M","$33,175.0M",5.9%,0.1%,0.1%,1.7%,2.8%
